Stage,Method,images,CHAIRs,CHAIRi,Avg Caption Length,Object Mentions,Hallucinated Object Count,s/sample,changed caption count,unchanged caption count,first word changed count,improved image count,worsened image count,no-delta stable count
500,regular,500,0.188,0.0561,49.8,2280,128,1.2973,500,0,0,58,33,409
500,first_logit,500,0.144,0.0429,51.038,2356,101,1.3002,500,0,0,58,33,409
1000,regular,1000,0.209,0.0657,49.658,4522,297,1.3092,1000,0,0,130,80,790
1000,first_logit,1000,0.161,0.0509,50.919,4717,240,1.311,1000,0,0,130,80,790
